Year,Rank,Country,Health Index
2012,1,Japan,96.1
2012,2,Indonesia,94.1
2012,3,Sri Lanka,93.5
2012,4,Thailand,92.6
2012,5,Israel,91.7
2012,6,Denmark,89.8
2012,7,Colombia,88.9
2012,8,Malta,87
2012,9,New Zealand,86.8
2012,10,Sweden,86.8
2012,11,Austria,83.2
2012,12,Slovenia,82.9
2012,13,Panama,82.4
2012,14,Belgium,82.2
2012,15,France,80.7
2012,16,Mexico,80.1
2012,17,Switzerland,79.5
2012,18,Bolivia,79.2
2012,19,Australia,79.1
2012,20,Norway,79
2012,21,Ecuador,77.8
2012,22,Finland,77.1
2012,23,Argentina,76.7
2012,24,Philippines,76.1
2012,25,United Kingdom,76
2012,26,Taiwan,74.1
2012,27,Canada,72
2012,28,Germany,72
2012,29,Jordan,70.8
2012,30,Slovakia,70.4
2012,31,Netherlands,70.4
2012,32,Turkey,70
2012,33,Portugal,70
2012,34,Spain,69.9
2012,35,Estonia,69.4
2012,36,Malaysia,69.1
2012,37,Italy,67.8
2012,38,Georgia,67.1
2012,39,Egypt,65.7
2012,40,United States,65.5
2012,41,Croatia,65
2012,42,Czech Republic,65
2012,43,Lithuania,64.6
2012,44,United Arab Emirates,63.9
2012,45,Pakistan,60.4
2012,46,Bulgaria,60.3
2012,47,Hungary,60
2012,48,South Africa,59.5
2012,49,India,59.4
2012,50,Chile,59.3
2012,51,Brazil,59.1
2012,52,Singapore,59
2012,53,Serbia,57.4
2012,54,Bosnia And Herzegovina,57.4
2012,55,Poland,55.8
2012,56,Greece,51.8
2012,57,Romania,48.4
2012,58,Venezuela,45.4
2012,59,Puerto Rico,44.7
2012,60,Iran,43.4
2012,61,Lebanon,43.3
2012,62,Mongolia,43.1
2012,63,Ireland,41.1
2012,64,Saudi Arabia,40.7
2012,65,Ukraine,40.3
2012,66,China,36.1
2012,67,Russia,35.5
2013,1,Thailand,94.7
2013,2,Israel,87
2013,3,Denmark,86.1
2013,4,France,85.6
2013,5,Panama,82.4
2013,6,Belgium,81.5
2013,7,Austria,81.5
2013,8,Taiwan,81.2
2013,9,Sri Lanka,80.6
2013,10,South Korea,80.6
2013,11,Norway,80.5
2013,12,Japan,80.1
2013,13,Sweden,78.7
2013,14,Argentina,78.3
2013,15,Estonia,78.1
2013,16,Malta,77.8
2013,17,Colombia,77.3
2013,18,Costa Rica,77.1
2013,19,Finland,76.4
2013,20,New Zealand,76
2013,21,Spain,75.6
2013,22,Australia,75.6
2013,23,Jordan,75.4
2013,24,Philippines,73.7
2013,25,Germany,73.3
2013,26,Canada,72.8
2013,27,Mexico,72.1
2013,28,Slovenia,72.1
2013,29,Switzerland,72
2013,30,Turkey,71.9
2013,31,United Kingdom,71.3
2013,32,Hong Kong,71.1
2013,33,Lithuania,70.8
2013,34,Cyprus,70
2013,35,Georgia,69
2013,36,Qatar,68.1
2013,37,United States,67.8
2013,38,Bolivia,67.4
2013,39,Netherlands,66.8
2013,40,North Macedonia,64.8
2013,41,Iceland,64.8
2013,42,Ecuador,64.8
2013,43,Italy,64.8
2013,44,Morocco,63.3
2013,45,India,62.7
2013,46,Czech Republic,62
2013,47,Portugal,61.6
2013,48,Chile,61.5
2013,49,South Africa,61.3
2013,50,China,60.9
2013,51,Slovakia,60
2013,52,United Arab Emirates,59.9
2013,53,Malaysia,59.7
2013,54,Egypt,59.1
2013,55,Puerto Rico,59
2013,56,Singapore,58.8
2013,57,Poland,57.8
2013,58,Brazil,57.6
2013,59,Uruguay,57.2
2013,60,Montenegro,56.9
2013,61,Serbia,55.6
2013,62,Bulgaria,54.6
2013,63,Bosnia And Herzegovina,54.5
2013,64,Cambodia,53.8
2013,65,Peru,53.7
2013,66,Hungary,51
2013,67,Greece,50.4
2013,68,Croatia,50
2013,69,Ireland,49
2013,70,Indonesia,48.5
2013,71,Ukraine,47.9
2013,72,Pakistan,47.9
2013,73,Romania,46.1
2013,74,Iran,45.7
2013,75,Albania,44.4
2013,76,Venezuela,44.4
2013,77,Lebanon,43.3
2013,78,Mongolia,43.1
2013,79,Russia,39.3
2013,80,Uganda,34.7
2013,81,Saudi Arabia,34.2
2013,82,Azerbaijan,28.7
2014,1,Denmark,85.6
2014,2,Thailand,85.4
2014,3,Japan,85
2014,4,France,82.3
2014,5,Austria,79.7
2014,6,South Korea,79.2
2014,7,Taiwan,78.3
2014,8,Belgium,78
2014,9,New Zealand,77.8
2014,10,Argentina,76.7
2014,11,Sri Lanka,76.7
2014,12,Estonia,76.3
2014,13,Norway,75.7
2014,14,Israel,75.4
2014,15,Germany,75.3
2014,16,Sweden,75.2
2014,17,Spain,75.2
2014,18,Jordan,74.1
2014,19,Australia,73.6
2014,20,United Kingdom,73.5
2014,21,Canada,71.9
2014,22,Hong Kong,71.8
2014,23,Mexico,70.6
2014,24,Philippines,69.8
2014,25,Malaysia,69.4
2014,26,Lithuania,69.3
2014,27,Cyprus,68.7
2014,28,Finland,68.7
2014,29,United States,68.6
2014,30,Colombia,68.5
2014,31,Switzerland,68
2014,32,Czech Republic,66.3
2014,33,Kuwait,66.2
2014,34,Netherlands,66.2
2014,35,China,65.1
2014,36,Italy,65
2014,37,Latvia,65
2014,38,Portugal,64.8
2014,39,India,64.6
2014,40,Costa Rica,63.9
2014,41,Slovakia,63.5
2014,42,Singapore,61.8
2014,43,Albania,61.4
2014,44,Slovenia,61.3
2014,45,Egypt,61.3
2014,46,United Arab Emirates,60.6
2014,47,Indonesia,60.2
2014,48,Kazakhstan,60.2
2014,49,Puerto Rico,59.9
2014,50,Uruguay,59.6
2014,51,South Africa,59.4
2014,52,Ecuador,59.4
2014,53,Morocco,59.3
2014,54,Greece,59
2014,55,Chile,58.7
2014,56,Bulgaria,58
2014,57,Peru,57.6
2014,58,Turkey,57.5
2014,59,Montenegro,56.9
2014,60,Croatia,55.9
2014,61,Lebanon,55.4
2014,62,Poland,54.8
2014,63,Bosnia And Herzegovina,54.4
2014,64,Serbia,54.4
2014,65,Cambodia,53.8
2014,66,Brazil,53.7
2014,67,Bolivia,51.5
2014,68,Saudi Arabia,50.4
2014,69,Nigeria,50.4
2014,70,Pakistan,50.4
2014,71,Iran,48.6
2014,72,Oman,48.1
2014,73,Belarus,48
2014,74,Romania,47.3
2014,75,Ukraine,47.1
2014,76,Hungary,46.6
2014,77,Russia,43.5
2014,78,Ireland,42.6
2014,79,Venezuela,41
2014,80,North Macedonia,33.1
2014,81,Iraq,28.5
2014,82,Mongolia,27.2
2015,1,Japan,87.1
2015,2,Bahrain,84.4
2015,3,Taiwan,84.3
2015,4,France,82.6
2015,5,Thailand,82.5
2015,6,Malta,82.2
2015,7,Panama,82.1
2015,8,Hong Kong,80.6
2015,9,Denmark,79.3
2015,10,Dominican Republic,78.7
2015,11,Austria,78.4
2015,12,Cyprus,78.4
2015,13,South Korea,78.1
2015,14,Belgium,77.9
2015,15,Turkmenistan,77.2
2015,16,Israel,76.4
2015,17,Sweden,76.3
2015,18,Luxembourg,76.1
2015,19,Qatar,75.9
2015,20,Germany,75.6
2015,21,Norway,75.5
2015,22,Argentina,75.2
2015,23,Sri Lanka,74.3
2015,24,Cuba,74
2015,25,Turkey,74
2015,26,United Kingdom,73.9
2015,27,Spain,73.2
2015,28,Estonia,73.1
2015,29,New Zealand,72.6
2015,30,Australia,71.9
2015,31,Philippines,71.7
2015,32,Tunisia,71
2015,33,Lithuania,70.1
2015,34,Jordan,69.7
2015,35,Canada,69.6
2015,36,Finland,69.4
2015,37,Malaysia,69.1
2015,38,Colombia,68.9
2015,39,Uruguay,67.9
2015,40,Mexico,67.8
2015,41,United States,67.8
2015,42,Albania,67.4
2015,43,Czech Republic,67.2
2015,44,Netherlands,67.2
2015,45,Latvia,67.1
2015,46,India,66.9
2015,47,Kuwait,66.6
2015,48,Switzerland,66.3
2015,49,Singapore,66.1
2015,50,Indonesia,66.1
2015,51,Italy,65.8
2015,52,Lebanon,65.8
2015,53,Portugal,65.6
2015,54,Peru,64.7
2015,55,Nepal,63.4
2015,56,Ecuador,63.1
2015,57,Kenya,62.7
2015,58,Georgia,62.6
2015,59,Costa Rica,62
2015,60,South Africa,60.1
2015,61,Saudi Arabia,59
2015,62,Kazakhstan,58.9
2015,63,Puerto Rico,58.7
2015,64,China,58.7
2015,65,Chile,58.5
2015,66,Bulgaria,58.5
2015,67,Iceland,58.4
2015,68,Poland,58
2015,69,Morocco,57.8
2015,70,Slovakia,57.3
2015,71,Croatia,57.3
2015,72,Algeria,57.2
2015,73,Montenegro,56.9
2015,74,Greece,56.7
2015,75,United Arab Emirates,55.6
2015,76,Egypt,54.7
2015,77,Paraguay,54.4
2015,78,Trinidad And Tobago,54.4
2015,79,Cambodia,54.2
2015,80,Serbia,54.1
2015,81,Slovenia,53.9
2015,82,Moldova,52.7
2015,83,Brazil,52.2
2015,84,Bosnia And Herzegovina,52.1
2015,85,Russia,51.8
2015,86,Hungary,51.6
2015,87,Pakistan,51.2
2015,88,Iran,50.1
2015,89,Bolivia,49.8
2015,90,Ireland,49.5
2015,91,Armenia,48.3
2015,92,Oman,48.1
2015,93,Romania,46.6
2015,94,Belarus,45.4
2015,95,Ukraine,44.3
2015,96,Bangladesh,43.3
2015,97,Guam,39.9
2015,98,Venezuela,38.5
2015,99,Nigeria,38.4
2015,100,North Macedonia,35.1
2015,101,Vietnam,34.3
2015,102,Iraq,30
2015,103,Mongolia,28.3
2015,104,Azerbaijan,23.9
2015,105,Honduras,16.1
2016,1,Taiwan,86.4
2016,2,France,82.2
2016,3,Denmark,81.9
2016,4,Thailand,80.8
2016,5,Japan,80.4
2016,6,South Korea,79
2016,7,Belgium,78.1
2016,8,Austria,77.8
2016,9,Israel,76.1
2016,10,Spain,75.9
2016,11,Germany,75.8
2016,12,Finland,74.4
2016,13,Sweden,74.3
2016,14,Hong Kong,74.3
2016,15,Iceland,74.3
2016,16,Norway,74.2
2016,17,United Kingdom,74
2016,18,Argentina,73.7
2016,19,Australia,73.7
2016,20,Colombia,73.2
2016,21,Turkey,73
2016,22,Cyprus,72.9
2016,23,New Zealand,72.6
2016,24,Czech Republic,72.3
2016,25,Philippines,72.3
2016,26,Netherlands,70.4
2016,27,Estonia,69.9
2016,28,Jordan,69.3
2016,29,Singapore,69.1
2016,30,Portugal,69
2016,31,Switzerland,68.9
2016,32,Canada,68.6
2016,33,Mexico,68.1
2016,34,Italy,67.8
2016,35,United States,67.8
2016,36,Lithuania,67.4
2016,37,India,66.5
2016,38,Malaysia,66.4
2016,39,Ecuador,65.7
2016,40,Saudi Arabia,65.1
2016,41,Indonesia,62.6
2016,42,Pakistan,61.3
2016,43,China,61.2
2016,44,Chile,61.1
2016,45,Bosnia And Herzegovina,60.5
2016,46,Poland,60
2016,47,North Macedonia,60
2016,48,Croatia,60
2016,49,South Africa,59.6
2016,50,Greece,59.2
2016,51,Slovakia,58.6
2016,52,Slovenia,58.5
2016,53,United Arab Emirates,58.2
2016,54,Puerto Rico,57
2016,55,Serbia,55.9
2016,56,Russia,54.1
2016,57,Hungary,52.1
2016,58,Romania,51.4
2016,59,Brazil,51.1
2016,60,Bulgaria,50.9
2016,61,Ireland,50.4
2016,62,Iran,49.8
2016,63,Ukraine,49.7
2016,64,Egypt,46.6
2016,65,Venezuela,36.7
2017,1,South Korea,83.2
2017,2,Netherlands,82.5
2017,3,Taiwan,81.1
2017,4,Austria,80.9
2017,5,Thailand,80.7
2017,6,Sri Lanka,80
2017,7,Belgium,78.9
2017,8,Japan,78.6
2017,9,France,78.6
2017,10,Germany,76.7
2017,11,Spain,76.7
2017,12,Malta,76.2
2017,13,Denmark,75.4
2017,14,Finland,74.8
2017,15,Israel,74.8
2017,16,United Kingdom,74.3
2017,17,Australia,74.2
2017,18,Norway,74.2
2017,19,Czech Republic,74.1
2017,20,Argentina,73.3
2017,21,Jordan,71.9
2017,22,Turkey,71.7
2017,23,Estonia,71.3
2017,24,Switzerland,71
2017,25,Sweden,70.6
2017,26,New Zealand,70.6
2017,27,Portugal,70.3
2017,28,Mexico,70.1
2017,29,Singapore,69.9
2017,30,Ecuador,69.2
2017,31,Canada,69.2
2017,32,India,69.2
2017,33,Philippines,69.2
2017,34,Lithuania,68.7
2017,35,United States,68.2
2017,36,Hong Kong,68
2017,37,Uruguay,67.1
2017,38,Italy,66.3
2017,39,Qatar,66.1
2017,40,Malaysia,66
2017,41,Colombia,65.8
2017,42,Tunisia,65.7
2017,43,Iceland,65.6
2017,44,Croatia,65.5
2017,45,Indonesia,64.8
2017,46,Slovenia,64.4
2017,47,Lebanon,64.3
2017,48,North Macedonia,63.5
2017,49,Slovakia,62.6
2017,50,China,62.2
2017,51,South Africa,61.7
2017,52,Bosnia And Herzegovina,61.5
2017,53,Poland,61.5
2017,54,Chile,61
2017,55,United Arab Emirates,60.5
2017,56,Saudi Arabia,60.4
2017,57,Costa Rica,60.2
2017,58,Pakistan,59
2017,59,Peru,58.5
2017,60,Kuwait,57.6
2017,61,Russia,56.4
2017,62,Puerto Rico,56.3
2017,63,Cyprus,54.2
2017,64,Bulgaria,54
2017,65,Greece,53.9
2017,66,Serbia,53.9
2017,67,Belarus,53.8
2017,68,Hungary,53.5
2017,69,Ireland,53.3
2017,70,Romania,53.1
2017,71,Nigeria,52.3
2017,72,Brazil,51.7
2017,73,Iran,51.6
2017,74,Ukraine,49.8
2017,75,Vietnam,47.9
2017,76,Iraq,45.9
2017,77,Morocco,44.5
2017,78,Egypt,43.7
2017,79,Bangladesh,43.5
2017,80,Venezuela,36.9
2018,1,South Korea,83.4
2018,2,Taiwan,82
2018,3,Japan,81.7
2018,4,Netherlands,81.1
2018,5,Thailand,80.9
2018,6,Belgium,80.4
2018,7,Austria,78.8
2018,8,France,78
2018,9,Sri Lanka,77.9
2018,10,Spain,77.5
2018,11,Denmark,77.1
2018,12,Australia,76.2
2018,13,Germany,75.4
2018,14,Finland,75.4
2018,15,Czech Republic,75.4
2018,16,Norway,74.7
2018,17,United Kingdom,74.2
2018,18,Israel,74.1
2018,19,New Zealand,72
2018,20,Switzerland,71.7
2018,21,Estonia,71.3
2018,22,Argentina,71.3
2018,23,Canada,70.6
2018,24,Qatar,70.5
